il_basin_shapes_GenerateNear2.OBJECTID,il_basin_shapes_GenerateNear2.IN_FID,il_basin_shapes_GenerateNear2.NEAR_FID,il_basin_shapes_GenerateNear2.NEAR_DIST,il_basin_shapes_GenerateNear2.NEAR_RANK,il_basin_shapes.FID,il_basin_shapes.gauge_id,IMS_stations_lla_XYTableToPoint1.OBJECTID,IMS_stations_lla_XYTableToPoint1.stationId,IMS_stations_lla_XYTableToPoint1.latitude,IMS_stations_lla_XYTableToPoint1.longitude
224,46,165,4017.33567304415,3,46,il_23134,165,412,31.2642,34.8045
225,46,47,4090.3450496296,4,46,il_23134,47,112,31.066,34.849
226,47,15,0,1,47,il_23150,15,28,31.35,35.049
227,47,43,0,1,47,il_23150,43,98,30.871,34.796
228,47,47,0,1,47,il_23150,47,112,31.066,34.849
229,47,54,0,1,47,il_23150,54,188,31.47,35.07
230,47,71,0,1,47,il_23150,71,240,31.25,35.1855
231,48,30,0,1,48,il_23160,30,59,31.333,34.783
232,48,153,565.334303844736,2,48,il_23160,153,351,31.3812,34.8729
233,48,108,678.55722331466,3,48,il_23160,108,293,31.2515,34.7995
234,48,164,827.943696045871,4,48,il_23160,164,411,31.2642,34.8045
235,48,165,827.943696045871,4,48,il_23160,165,412,31.2642,34.8045
236,49,89,4533.97597447498,1,49,il_25191,89,271,30.8,34.77
237,49,143,5085.30927540426,2,49,il_25191,143,335,30.7877,34.7712
238,49,82,8078.24251964872,3,49,il_25191,82,251,30.8702,34.795
239,49,43,8192.39853866247,4,49,il_25191,43,98,30.871,34.796
240,49,163,8765.35844857696,5,49,il_25191,163,381,30.98,34.7
241,50,168,4321.61710923577,1,50,il_30118,168,498,33.2277,35.635
242,50,169,4321.61710923577,1,50,il_30118,169,499,33.2277,35.635
243,50,150,7115.05368403268,2,50,il_30118,150,348,33.23,35.6
244,50,154,7115.05368403268,2,50,il_30118,154,352,33.23,35.6
245,50,72,9577.75628871938,3,50,il_30118,72,241,33.241,35.57
246,51,168,747.578040053166,1,51,il_30120,168,498,33.2277,35.635
247,51,169,747.578040053166,1,51,il_30120,169,499,33.2277,35.635
248,51,150,2243.6679859845,2,51,il_30120,150,348,33.23,35.6
249,51,154,2243.6679859845,2,51,il_30120,154,352,33.23,35.6
250,51,72,2353.43667391961,3,51,il_30120,72,241,33.241,35.57
251,52,150,667.669669886921,1,52,il_30122,150,348,33.23,35.6
252,52,154,667.669669886921,1,52,il_30122,154,352,33.23,35.6
253,52,168,747.578040053166,2,52,il_30122,168,498,33.2277,35.635
254,52,169,747.578040053166,2,52,il_30122,169,499,33.2277,35.635
255,52,72,2353.43667391961,3,52,il_30122,72,241,33.241,35.57
256,54,168,1864.42065714178,1,54,il_30125,168,498,33.2277,35.635
257,54,169,1864.42065714178,1,54,il_30125,169,499,33.2277,35.635
258,54,150,5104.24338760332,2,54,il_30125,150,348,33.23,35.6
259,54,154,5104.24338760332,2,54,il_30125,154,352,33.23,35.6
260,54,55,7219.15418461283,3,54,il_30125,55,202,33.173,35.613
261,55,168,818.668358808367,1,55,il_30128,168,498,33.2277,35.635
