OBJECTID,Join_Count,TARGET_FID,JOIN_FID,gauge_id,ims_1,NEAR_DIST,NEAR_X,NEAR_Y,stationId,latitude,longitude,NEAR_FID,Shape_Length,Shape_Area
73,1,8,9,il_17135,0,-1,-1,-1,21,32.106,35.212,0,1.73233449215999,0.0911332432438416
74,1,8,12,il_17135,0,-1,-1,-1,24,31.933,35.15,3,1.73233449215999,0.0911332432438416
75,1,8,28,il_17135,0,-1,-1,-1,54,32.009,34.814,6,1.73233449215999,0.0911332432438416
76,1,8,42,il_17135,0,-1,-1,-1,90,32.166,35.349,8,1.73233449215999,0.0911332432438416
77,1,8,52,il_17135,0,-1,-1,-1,178,32.059,34.759,6,1.73233449215999,0.0911332432438416
78,1,8,62,il_17135,0,-1,-1,-1,212,32.0073,34.8138,6,1.73233449215999,0.0911332432438416
79,1,8,73,il_17135,0,-1,-1,-1,242,32.1056,35.2114,0,1.73233449215999,0.0911332432438416
80,1,8,78,il_17135,0,-1,-1,-1,247,32.1752,35.0959,0,1.73233449215999,0.0911332432438416
81,1,8,88,il_17135,0,-1,-1,-1,270,32.127,35.026,0,1.73233449215999,0.0911332432438416
82,1,8,92,il_17135,0,-1,-1,-1,277,32.1598,35.3513,0,1.73233449215999,0.0911332432438416
83,1,8,93,il_17135,0,-1,-1,-1,278,31.9449,35.1499,3,1.73233449215999,0.0911332432438416
84,1,8,114,il_17135,0,-1,-1,-1,299,32.058,34.7588,6,1.73233449215999,0.0911332432438416
85,1,9,25,il_12130,0,-1,-1,-1,44,32.682,34.96,10,0.330496909061259,0.00407640391033038
86,1,9,26,il_12130,0,-1,-1,-1,45,32.566,34.95,10,0.330496909061259,0.00407640391033038
87,1,9,34,il_12130,0,-1,-1,-1,67,32.633,35.099,90,0.330496909061259,0.00407640391033038
88,1,9,127,il_12130,0,-1,-1,-1,313,32.6808,34.9594,10,0.330496909061259,0.00407640391033038
89,1,9,128,il_12130,0,-1,-1,-1,314,32.5724,34.9546,10,0.330496909061259,0.00407640391033038
90,1,9,131,il_12130,0,-1,-1,-1,317,32.6028,35.0964,92,0.330496909061259,0.00407640391033038
91,1,10,25,il_12140,0,-1,-1,-1,44,32.682,34.96,10,0.451413688918905,0.00658341482633715
92,1,10,26,il_12140,0,-1,-1,-1,45,32.566,34.95,10,0.451413688918905,0.00658341482633715
93,1,10,34,il_12140,0,-1,-1,-1,67,32.633,35.099,90,0.451413688918905,0.00658341482633715
94,1,10,127,il_12140,0,-1,-1,-1,313,32.6808,34.9594,10,0.451413688918905,0.00658341482633715
95,1,10,128,il_12140,0,-1,-1,-1,314,32.5724,34.9546,10,0.451413688918905,0.00658341482633715
96,1,10,131,il_12140,0,-1,-1,-1,317,32.6028,35.0964,92,0.451413688918905,0.00658341482633715
97,1,11,26,il_13105,0,-1,-1,-1,45,32.566,34.95,10,0.417263628587679,0.00487753870638539
98,1,11,34,il_13105,0,-1,-1,-1,67,32.633,35.099,90,0.417263628587679,0.00487753870638539
99,1,11,128,il_13105,0,-1,-1,-1,314,32.5724,34.9546,10,0.417263628587679,0.00487753870638539
100,1,11,131,il_13105,0,-1,-1,-1,317,32.6028,35.0964,92,0.417263628587679,0.00487753870638539
101,1,12,26,il_13125,0,-1,-1,-1,45,32.566,34.95,10,0.269794538177789,0.00168114397756937
102,1,12,34,il_13125,0,-1,-1,-1,67,32.633,35.099,90,0.269794538177789,0.00168114397756937
103,1,12,128,il_13125,0,-1,-1,-1,314,32.5724,34.9546,10,0.269794538177789,0.00168114397756937
104,1,12,131,il_13125,0,-1,-1,-1,317,32.6028,35.0964,92,0.269794538177789,0.00168114397756937
105,1,13,26,il_13135,0,-1,-1,-1,45,32.566,34.95,10,0.337910043679202,0.00276544863055074
106,1,13,128,il_13135,0,-1,-1,-1,314,32.5724,34.9546,10,0.337910043679202,0.00276544863055074
107,1,13,131,il_13135,0,-1,-1,-1,317,32.6028,35.0964,92,0.337910043679202,0.00276544863055074
108,1,14,26,il_13146,0,-1,-1,-1,45,32.566,34.95,10,0.459001733197826,0.00596160541442275
109,1,14,27,il_13146,0,-1,-1,-1,46,32.474,34.883,17,0.459001733197826,0.00596160541442275
110,1,14,34,il_13146,0,-1,-1,-1,67,32.633,35.099,90,0.459001733197826,0.00596160541442275
111,1,14,128,il_13146,0,-1,-1,-1,314,32.5724,34.9546,10,0.459001733197826,0.00596160541442275
112,1,14,129,il_13146,0,-1,-1,-1,315,32.4732,34.8815,17,0.459001733197826,0.00596160541442275
113,1,14,131,il_13146,0,-1,-1,-1,317,32.6028,35.0964,92,0.459001733197826,0.00596160541442275
114,1,15,131,il_14115,0,-1,-1,-1,317,32.6028,35.0964,92,0.454211864269605,0.00569007012793542
115,1,16,27,il_14120,0,-1,-1,-1,46,32.474,34.883,17,1.34028859363584,0.0554628957065925
116,1,16,46,il_14120,0,-1,-1,-1,107,32.388,34.938,17,1.34028859363584,0.0554628957065925
117,1,16,64,il_14120,0,-1,-1,-1,224,32.481,35.415,92,1.34028859363584,0.0554628957065925
118,1,16,77,il_14120,0,-1,-1,-1,246,32.3877,34.9376,17,1.34028859363584,0.0554628957065925
119,1,16,129,il_14120,0,-1,-1,-1,315,32.4732,34.8815,17,1.34028859363584,0.0554628957065925
120,1,16,131,il_14120,0,-1,-1,-1,317,32.6028,35.0964,92,1.34028859363584,0.0554628957065925
121,1,16,140,il_14120,0,-1,-1,-1,328,32.481,35.415,92,1.34028859363584,0.0554628957065925
122,1,17,8,il_15120,0,-1,-1,-1,20,32.166,35.099,0,1.32343863337894,0.0467560119795596
123,1,17,9,il_15120,0,-1,-1,-1,21,32.106,35.212,0,1.32343863337894,0.0467560119795596
124,1,17,27,il_15120,0,-1,-1,-1,46,32.474,34.883,17,1.32343863337894,0.0467560119795596
125,1,17,42,il_15120,0,-1,-1,-1,90,32.166,35.349,8,1.32343863337894,0.0467560119795596
126,1,17,46,il_15120,0,-1,-1,-1,107,32.388,34.938,17,1.32343863337894,0.0467560119795596
127,1,17,73,il_15120,0,-1,-1,-1,242,32.1056,35.2114,0,1.32343863337894,0.0467560119795596
128,1,17,77,il_15120,0,-1,-1,-1,246,32.3877,34.9376,17,1.32343863337894,0.0467560119795596
129,1,17,78,il_15120,0,-1,-1,-1,247,32.1752,35.0959,0,1.32343863337894,0.0467560119795596
130,1,17,92,il_15120,0,-1,-1,-1,277,32.1598,35.3513,0,1.32343863337894,0.0467560119795596
131,1,17,129,il_15120,0,-1,-1,-1,315,32.4732,34.8815,17,1.32343863337894,0.0467560119795596
132,1,18,72,il_30145,0,-1,-1,-1,241,33.241,35.57,22,0.270462381821984,0.00296025879124402
133,1,18,149,il_30145,0,-1,-1,-1,346,33.2404,35.5696,22,0.270462381821984,0.00296025879124402
134,1,18,150,il_30145,0,-1,-1,-1,348,33.23,35.6,22,0.270462381821984,0.00296025879124402
135,1,18,154,il_30145,0,-1,-1,-1,352,33.23,35.6,22,0.270462381821984,0.00296025879124402
136,1,18,168,il_30145,0,-1,-1,-1,498,33.2277,35.635,22,0.270462381821984,0.00296025879124402
137,1,18,169,il_30145,0,-1,-1,-1,499,33.2277,35.635,22,0.270462381821984,0.00296025879124402
138,1,19,4,il_30155,0,-1,-1,-1,10,33.133,35.783,30,0.456482933924679,0.00426268732844899
139,1,19,55,il_30155,0,-1,-1,-1,202,33.173,35.613,22,0.456482933924679,0.00426268732844899
140,1,19,118,il_30155,0,-1,-1,-1,303,33.1288,35.8045,30,0.456482933924679,0.00426268732844899
141,1,19,137,il_30155,0,-1,-1,-1,324,33.1716,35.6133,22,0.456482933924679,0.00426268732844899
142,1,19,150,il_30155,0,-1,-1,-1,348,33.23,35.6,22,0.456482933924679,0.00426268732844899
