OBJECTID,Join_Count,TARGET_FID,JOIN_FID,gauge_id,stationId,NEAR_FID,NEAR_DIST,Shape_Length,Shape_Area
43,1,5,93,il_17164,278,3,0,1.27776201820274,0.0535222115754178
44,1,5,96,il_17164,281,33,0,1.27776201820274,0.0535222115754178
45,1,5,97,il_17164,282,2,0,1.27776201820274,0.0535222115754178
46,1,5,103,il_17164,288,33,0,1.27776201820274,0.0535222115754178
47,1,6,10,il_17168,22,31,0,1.4426694000438,0.0752500901513421
48,1,6,11,il_17168,23,33,0.00692562182828133,1.4426694000438,0.0752500901513421
49,1,6,12,il_17168,24,3,0,1.4426694000438,0.0752500901513421
50,1,6,28,il_17168,54,6,0,1.4426694000438,0.0752500901513421
51,1,6,37,il_17168,75,33,0,1.4426694000438,0.0752500901513421
52,1,6,52,il_17168,178,6,0.0376856406449963,1.4426694000438,0.0752500901513421
53,1,6,62,il_17168,212,6,0,1.4426694000438,0.0752500901513421
54,1,6,79,il_17168,248,33,0.00648417422174634,1.4426694000438,0.0752500901513421
55,1,6,80,il_17168,249,31,0,1.4426694000438,0.0752500901513421
56,1,6,85,il_17168,259,2,0,1.4426694000438,0.0752500901513421
57,1,6,88,il_17168,270,0,0,1.4426694000438,0.0752500901513421
58,1,6,93,il_17168,278,3,0,1.4426694000438,0.0752500901513421
59,1,6,96,il_17168,281,33,0,1.4426694000438,0.0752500901513421
60,1,6,97,il_17168,282,2,0,1.4426694000438,0.0752500901513421
61,1,6,103,il_17168,288,33,0,1.4426694000438,0.0752500901513421
62,1,6,114,il_17168,299,6,0.0373436714263057,1.4426694000438,0.0752500901513421
63,1,7,8,il_17123,20,0,0,1.25048958798847,0.0347033433041629
64,1,7,9,il_17123,21,0,0,1.25048958798847,0.0347033433041629
65,1,7,12,il_17123,24,3,0,1.25048958798847,0.0347033433041629
66,1,7,42,il_17123,90,8,0.00120810534578137,1.25048958798847,0.0347033433041629
67,1,7,73,il_17123,242,0,0,1.25048958798847,0.0347033433041629
68,1,7,78,il_17123,247,0,0,1.25048958798847,0.0347033433041629
69,1,7,88,il_17123,270,0,0,1.25048958798847,0.0347033433041629
70,1,7,92,il_17123,277,0,0,1.25048958798847,0.0347033433041629
71,1,7,93,il_17123,278,3,0,1.25048958798847,0.0347033433041629
72,1,8,8,il_17135,20,0,0,1.73233449215999,0.0911332432438416
73,1,8,9,il_17135,21,0,0,1.73233449215999,0.0911332432438416
74,1,8,12,il_17135,24,3,0,1.73233449215999,0.0911332432438416
75,1,8,28,il_17135,54,6,0,1.73233449215999,0.0911332432438416
76,1,8,42,il_17135,90,8,0.00120810534578137,1.73233449215999,0.0911332432438416
77,1,8,52,il_17135,178,6,0.0376856406449963,1.73233449215999,0.0911332432438416
78,1,8,62,il_17135,212,6,0,1.73233449215999,0.0911332432438416
79,1,8,73,il_17135,242,0,0,1.73233449215999,0.0911332432438416
80,1,8,78,il_17135,247,0,0,1.73233449215999,0.0911332432438416
81,1,8,88,il_17135,270,0,0,1.73233449215999,0.0911332432438416
82,1,8,92,il_17135,277,0,0,1.73233449215999,0.0911332432438416
83,1,8,93,il_17135,278,3,0,1.73233449215999,0.0911332432438416
84,1,8,114,il_17135,299,6,0.0373436714263057,1.73233449215999,0.0911332432438416
85,1,9,25,il_12130,44,10,0.0621508118495629,0.330496909061259,0.00407640391033038
86,1,9,26,il_12130,45,10,0.00510114673937674,0.330496909061259,0.00407640391033038
87,1,9,34,il_12130,67,90,0,0.330496909061259,0.00407640391033038
88,1,9,127,il_12130,313,10,0.0613238200673806,0.330496909061259,0.00407640391033038
