gauge_id,ims_1,dist_1,ims_2,dist_2,ims_3,dist_3,ims_4,dist_4,ims_5,dist_5
il_23160,59,0.0,351,565.334303844736,293,678.55722331466,411,827.943696045871,412,827.943696045871
il_25191,271,4533.97597447498,335,5085.30927540426,251,8078.24251964872,98,8192.39853866247,381,8765.35844857696
il_30118,498,4321.61710923577,499,4321.61710923577,348,7115.05368403268,352,7115.05368403268,241,9577.75628871938
il_30120,498,747.578040053166,499,747.578040053166,348,2243.6679859845,352,2243.6679859845,241,2353.43667391961
il_30122,348,667.669669886921,352,667.669669886921,498,747.578040053166,499,747.578040053166,241,2353.43667391961
il_30125,498,1864.42065714178,499,1864.42065714178,348,5104.24338760332,352,5104.24338760332,202,7219.15418461283
il_30128,498,818.668358808367,499,818.668358808367,348,4069.89082025563,352,4069.89082025563,202,5559.51206566089
il_30131,498,2200.45362176874,499,2200.45362176874,348,4627.71886878688,352,4627.71886878688,241,6593.45351054655
il_30136,241,0.0,348,0.0,352,0.0,498,0.0,499,0.0
il_23105,98,417.618543244211,251,470.10997531458,381,2103.89109758536,480,2513.45912643993,271,3811.89091328573
il_23103,98,6285.94845860687,251,6414.84216572361,,,,,,
il_59185,295,6890.23539227631,,,,,,,,
il_38175,257,0.0,380,0.0,443,0.0,224,1370.65615354456,328,1370.65615354456
il_4110,345,3976.54509944682,343,4339.62109964045,239,4632.36745902321,73,4714.38747172794,269,6458.51120131335
il_48125,289,1820.11951303772,210,1879.38248074285,248,3075.98403493031,23,3111.11062970653,249,3371.19315081234
il_48130,286,678.788562621353,77,700.41085602289,210,2691.20593816326,289,3333.8220519122,249,8156.92066296446
il_48185,29,3709.52076892672,240,3791.64490609253,,,,,,
il_48192,32,1650.34233113423,240,2270.32944929224,29,2375.74993223253,,,,
il_5110,345,0.0,269,101.772167997458,298,167.172294258962,343,369.157603851787,325,6447.26899256667
il_55106,265,0.0,379,0.0,296,459.882744893537,335,1121.78168239783,271,2437.21422922328
il_55140,265,0.0,271,0.0,335,0.0,379,0.0,296,445.901601168943
il_56140,296,0.0,379,354.032108843517,265,396.171704975125,,,,
il_56150,296,0.0,379,354.032045263746,265,396.171618538658,33,7692.61453781661,,
il_56164,296,0.0,379,354.032045263746,265,396.171618538658,33,7692.61453781661,,
il_57190,35,1297.75007127626,207,1359.94242060747,297,1483.33729960906,,,,
il_58150,232,2410.4256053406,329,2422.50447398094,309,7338.96264411444,36,7391.84886227363,,
il_58175,232,0.0,329,0.0,,,,,,
il_59195,295,5110.28545653451,,,,,,,,
il_60105,329,3061.24300396585,232,3085.55983980865,,,,,,
il_60110,329,3061.24310482705,232,3085.55993866907,,,,,,
il_60170,316,5756.92524955191,64,5860.02129529569,,,,,,
il_60190,316,4168.41984634904,64,4365.41692137347,,,,,,
il_7105,99,0.0,205,0.0,319,0.0,325,0.0,269,88.9023641758829
il_8130,67,0.0,317,179.563978201062,323,9794.01579184816,186,9930.1288743216,,
il_8140,186,109.389610246842,323,207.013549888256,67,6083.93374465505,317,9056.01165622893,,
il_8146,16,0.0,67,0.0,186,0.0,306,0.0,317,0.0
il_8155,319,1463.03198058129,99,1562.24739892184,186,3039.64919334699,323,3151.72740336516,13,4563.7719998507
il_48188,32,3993.5606285174,240,7182.9137841972,29,7204.10278466997,,,,
