il_basin_shape_G_ExportTable.OBJECTID,il_basin_shape_G_ExportTable.IN_FID,il_basin_shape_G_ExportTable.NEAR_FID,il_basin_shape_G_ExportTable.NEAR_DIST,il_basin_shape_G_ExportTable.NEAR_RANK,il_basin_shape_G_ExportTable.FROM_X,il_basin_shape_G_ExportTable.FROM_Y,il_basin_shape_G_ExportTable.NEAR_X,il_basin_shape_G_ExportTable.NEAR_Y,il_basin_shape_G_ExportTable.FID,il_basin_shape_G_ExportTable.gauge_id,IMS_stations_lla_pint.OBJECTID,IMS_stations_lla_pint.stationId,IMS_stations_lla_pint.latitude,IMS_stations_lla_pint.longitude
83,8,52,0.0785345613677674,7,34.8350955216674,32.078420322124,34.7590000000001,32.059,8,il_17135,52,178,32.059,34.759
84,8,114,0.078980986206445,8,34.8350955216674,32.078420322124,34.7588000000001,32.0580000000001,8,il_17135,114,299,32.058,34.7588
85,9,131,0.000165572652434566,1,35.0962757017437,32.602909381199,35.0964000000001,32.6028000000001,9,il_12130,131,317,32.6028,35.0964
86,9,34,0.0210422374631322,2,35.0799874832009,32.6239833508211,35.099,32.633,9,il_12130,34,67,32.633,35.099
87,9,128,0.0341476619425472,3,34.9850732834097,32.587809147101,34.9546,32.5724000000001,9,il_12130,128,314,32.5724,34.9546
88,9,26,0.0413010182247797,4,34.9850732834097,32.587809147101,34.95,32.566,9,il_12130,26,45,32.566,34.95
89,9,127,0.0797587340254081,5,35.0012583927245,32.6129079488316,34.9594000000001,32.6808,9,il_12130,127,313,32.6808,34.9594
90,9,25,0.0804733900421704,6,35.0012583927245,32.6129079488316,34.96,32.6820000000001,9,il_12130,25,44,32.682,34.96
91,10,128,0,1,34.9546,32.5724000000001,34.9546,32.5724000000001,10,il_12140,128,314,32.5724,34.9546
92,10,131,0.00016557205266836,2,35.0962757018755,32.602909380441,35.0964000000001,32.6028000000001,10,il_12140,131,317,32.6028,35.0964
93,10,26,0.00510114673937674,3,34.9543278074851,32.568700329689,34.95,32.566,10,il_12140,26,45,32.566,34.95
94,10,34,0.0210422342575188,4,35.0799874872942,32.6239833496709,35.099,32.633,10,il_12140,34,67,32.633,35.099
95,10,127,0.0613238200673806,5,34.9856855624963,32.6253953060481,34.9594000000001,32.6808,10,il_12140,127,313,32.6808,34.9594
96,10,25,0.0621508118495629,6,34.9866400404814,32.6258481375491,34.96,32.6820000000001,10,il_12140,25,44,32.682,34.96
97,11,131,0.0137084188368482,1,35.0958162000099,32.5891040179404,35.0964000000001,32.6028000000001,11,il_13105,131,317,32.6028,35.0964
98,11,128,0.0423511061339832,2,34.9967889184623,32.5761028839785,34.9546,32.5724000000001,11,il_13105,128,314,32.5724,34.9546
99,11,34,0.0428180010117689,3,35.1054006802744,32.5906631070735,35.099,32.633,11,il_13105,34,67,32.633,35.099
100,11,26,0.0471627881934832,4,34.9971036734882,32.5636393784489,34.95,32.566,11,il_13105,26,45,32.566,34.95
101,12,131,0.0539169785872631,1,35.0886789110889,32.549438727845,35.0964000000001,32.6028000000001,12,il_13125,131,317,32.6028,35.0964
102,12,26,0.0625452785054823,2,34.9999112203559,32.5283067387201,34.95,32.566,12,il_13125,26,45,32.566,34.95
103,12,128,0.0632243812183485,3,34.9999112203559,32.5283067387201,34.9546,32.5724000000001,12,il_13125,128,314,32.5724,34.9546
104,12,34,0.0841962652406772,4,35.0886789110889,32.549438727845,35.099,32.633,12,il_13125,34,67,32.633,35.099
105,13,131,0.0656536536249559,1,35.0994690962777,32.5372181207776,35.0964000000001,32.6028000000001,13,il_13135,131,317,32.6028,35.0964
106,13,26,0.0796606745438542,2,35.0007773955913,32.5046202055579,34.95,32.566,13,il_13135,26,45,32.566,34.95
107,13,128,0.0820149522843777,3,35.0007773955913,32.5046202055579,34.9546,32.5724000000001,13,il_13135,128,314,32.5724,34.9546
108,14,131,0.0539169780343443,1,35.0886789069991,32.5494387289955,35.0964000000001,32.6028000000001,14,il_13146,131,317,32.6028,35.0964
109,14,26,0.0544418949377533,2,34.9631245658292,32.5131637842365,34.95,32.566,14,il_13146,26,45,32.566,34.95
110,14,128,0.0590399672118451,3,34.9708536506198,32.5156414185352,34.9546,32.5724000000001,14,il_13146,128,314,32.5724,34.9546
111,14,27,0.0807877334685301,4,34.9563039111812,32.507958717357,34.883,32.474,14,il_13146,27,46,32.474,34.883
112,14,129,0.082485111143099,5,34.9563039111812,32.507958717357,34.8815000000001,32.4732000000001,14,il_13146,129,315,32.4732,34.8815
113,14,34,0.0841962646002478,6,35.0886789069991,32.5494387289955,35.099,32.633,14,il_13146,34,67,32.633,35.099
114,15,131,0.0782067367589174,1,35.1421153582684,32.5393460821314,35.0964000000001,32.6028000000001,15,il_14115,131,317,32.6028,35.0964
115,16,46,0.0296210056150206,1,34.9664628356502,32.3962018876118,34.938,32.388,16,il_14120,46,107,32.388,34.938
116,16,77,0.0300889576877088,2,34.9664628356502,32.3962018876118,34.9376,32.3877000000001,16,il_14120,77,246,32.3877,34.9376
117,16,27,0.0774335808477547,3,34.948487938988,32.4326806426718,34.883,32.474,16,il_14120,27,46,32.474,34.883
118,16,131,0.0782067343710328,4,35.1421153541805,32.5393460821294,35.0964000000001,32.6028000000001,16,il_14120,131,317,32.6028,35.0964
119,16,129,0.0782892220432801,5,34.948487938988,32.4326806426718,34.8815000000001,32.4732000000001,16,il_14120,129,315,32.4732,34.8815
120,16,64,0.0874196452133823,6,35.3554210552117,32.4170270079867,35.4150000000001,32.4810000000001,16,il_14120,64,224,32.481,35.415
121,16,140,0.0874196452133823,6,35.3554210552117,32.4170270079867,35.4150000000001,32.4810000000001,16,il_14120,140,328,32.481,35.415
